Zone,CH Num,CH Name,RX Freq,TX Freq,RX TS,TX TS,RX CC,TX CC,Type,Power,Bandwidth,RX Only,Contact Name,RX Group Name,Scan List Name,Alarm,Prompt,PCT,MSG Type,TX Policy,EAS,TX Tone Type,TX Tone,RX Tone Type,RX Tone,APRS CH,Relay Monitor,Relay Mode
George Rpt,9,Rpt GC MS ,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,Mississipp,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,10,Rpt GC SE ,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,Southeast,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,11,Rpt Luceda,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,Lucedale,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,12,Rpt GC9 Lo,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,Local-9,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,13,Rpt GC Hur,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,US Hurrica,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,14,Rpt GC 1st,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,First Coas,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,15,Rpt GC MS ,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,Mississipp,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,16,Rpt GC Kin,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,Kingsland,,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,17,Rpt GC Dis,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,BM Disconn,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,18,Rpt GC Dis,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,BM Disconn,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,19,Rpt GC Par,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,GC Parrot,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,20,Rpt GC WW ,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,MARC13 WW ,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,21,Rpt GC WW,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,World-wide,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,22,Rpt GC Nor,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,North Amer,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,23,RptGC USA ,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,USA-TAC 31,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,24,RptGC USA ,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,USA-TAC 31,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,25,RptGC USA ,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,USA-TAC 31,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,26,RpGC USA C,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,USA Nation,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,27,Rpt GC AL ,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,Alabama,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,28,Rpt GC FL ,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,Florida,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
